N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,21,82,7,203,rice
85,58,41,22,80,7,227,rice
60,55,44,23,82,8,264,rice
74,35,40,26,80,7,243,rice
78,42,42,20,82,8,263,rice
69,37,42,23,83,7,251,rice
69,55,38,23,83,6,271,rice
94,53,40,20,83,6,242,rice
89,54,38,25,84,7,230,rice
68,58,38,23,83,6,221,rice
91,53,40,27,81,5,265,rice
90,46,42,24,81,8,250,rice
78,58,44,27,81,5,284,rice
93,56,36,24,82,7,185,rice
94,50,37,26,81,7,210,rice
60,48,39,24,80,7,231,rice
85,38,41,22,83,6,277,rice
91,35,39,24,80,7,206,rice
77,38,36,22,80,6,225,rice
88,35,40,24,84,6,291,rice
89,45,36,21,80,6,186,rice
76,40,43,25,83,5,231,rice
67,59,41,22,81,6,213,rice
83,41,43,21,83,6,233,rice
98,47,37,23,81,7,224,rice
66,53,41,25,81,8,257,rice
97,59,43,26,84,6,271,rice
97,50,41,25,81,7,260,rice
60,49,44,21,85,6,240,rice
84,51,35,22,81,6,198,rice
73,57,41,21,85,6,272,rice
92,35,40,22,80,6,200,rice
85,37,39,25,83,6,225,rice
98,53,38,20,82,5,270,rice
88,54,44,26,84,6,233,rice
95,55,42,27,82,6,193,rice
99,57,35,27,81,6,272,rice
95,39,36,24,83,6,285,rice
60,43,44,21,83,7,298,rice
63,44,41,24,84,6,257,rice
62,42,36,23,82,6,249,rice
64,45,43,26,84,6,210,rice
83,60,36,26,80,7,201,rice
82,40,40,24,85,6,299,rice
85,52,45,26,82,7,266,rice
91,35,38,25,81,6,184,rice
76,49,42,25,84,5,197,rice
74,39,38,23,85,8,233,rice
79,43,39,22,81,7,211,rice
88,55,45,25,80,8,254,rice
60,36,43,23,83,5,220,rice
76,60,39,20,80,7,209,rice
93,56,42,24,82,7,195,rice
65,60,43,22,82,6,227,rice
95,52,36,26,84,6,287,rice
75,38,39,23,85,6,284,rice
74,54,38,26,83,7,217,rice
91,36,45,24,82,6,268,rice
71,46,40,20,82,7,192,rice
99,55,35,22,80,7,278,rice
72,40,38,20,82,8,245,rice
83,58,45,26,84,6,246,rice
93,58,38,21,84,7,280,rice
70,36,42,22,81,7,202,rice
76,47,42,20,83,6,264,rice
99,41,36,24,83,7,183,rice
99,54,37,21,80,6,199,rice
86,59,35,26,82,7,244,rice
69,46,41,24,80,5,263,rice
91,56,37,23,81,6,270,rice
61,52,41,25,84,7,205,rice
67,45,38,23,82,7,261,rice
79,42,37,25,83,7,296,rice
78,43,42,21,83,7,192,rice
75,54,36,26,85,7,257,rice
97,36,45,22,82,7,278,rice
67,47,44,27,82,8,280,rice
73,35,38,25,82,5,186,rice
77,36,37,27,81,6,195,rice
81,41,38,23,84,8,201,rice
68,57,43,26,80,6,183,rice
72,45,35,25,83,6,195,rice
61,53,43,26,81,6,223,rice
67,43,39,26,85,6,187,rice
67,58,39,25,81,5,220,rice
66,60,38,22,83,6,232,rice
82,43,38,23,81,5,242,rice
84,50,44,25,81,6,183,rice
81,53,42,24,81,5,234,rice
91,50,40,21,84,6,230,rice
93,53,38,27,82,7,291,rice
90,44,38,24,84,7,241,rice
81,45,35,27,80,6,219,rice
78,40,38,26,84,8,248,rice
60,51,36,23,83,6,257,rice
88,46,42,23,83,7,194,rice
93,47,37,22,82,7,296,rice
60,55,45,21,83,6,288,rice
78,35,44,27,85,7,184,rice
65,37,40,23,84,5,188,rice
71,54,16,23,64,6,88,maize
61,44,17,26,72,7,102,maize
80,43,16,24,72,7,67,maize
73,58,21,20,58,7,61,maize
61,38,20,18,63,6,65,maize
68,41,16,22,58,6,102,maize
93,41,17,26,67,6,105,maize
89,60,19,25,67,6,78,maize
76,44,17,20,63,6,65,maize
67,60,25,25,67,6,109,maize
70,44,19,23,73,6,94,maize
90,49,21,25,68,6,74,maize
62,52,16,22,59,7,64,maize
92,44,16,19,66,6,95,maize
66,54,21,25,60,6,72,maize
63,58,22,18,55,6,64,maize
70,47,17,25,70,7,104,maize
61,41,17,25,65,6,77,maize
66,53,19,23,60,6,66,maize
74,55,19,18,63,6,84,maize
77,57,21,25,74,7,80,maize
99,50,15,18,71,6,88,maize
74,56,22,18,67,7,81,maize
83,45,21,19,59,6,80,maize
100,48,16,26,67,6,75,maize
79,51,16,25,69,7,96,maize
94,39,18,24,57,6,103,maize
75,49,15,22,72,6,102,maize
78,48,22,23,63,6,70,maize
87,54,20,26,63,7,109,maize
87,35,25,21,63,6,66,maize
63,43,19,19,56,7,91,maize
84,57,25,23,68,6,64,maize
64,35,23,23,62,6,63,maize
60,46,22,25,66,7,88,maize
98,44,21,26,74,7,107,maize
75,56,18,19,62,6,61,maize
86,55,21,22,60,7,110,maize
98,35,18,24,75,6,92,maize
76,57,18,19,75,6,94,maize
99,56,17,24,73,6,71,maize
60,44,23,25,70,6,77,maize
74,48,17,22,60,6,69,maize
89,60,17,25,57,6,102,maize
69,51,23,22,73,7,107,maize
96,46,22,21,69,7,66,maize
61,60,15,25,69,6,91,maize
74,58,18,20,56,7,109,maize
74,43,23,26,62,6,100,maize
63,43,17,19,65,7,71,maize
99,36,20,21,65,7,78,maize
77,36,23,25,57,7,88,maize
87,60,23,20,64,6,63,maize
60,38,17,18,64,6,76,maize
94,54,17,23,62,6,107,maize
95,38,22,20,61,6,101,maize
84,44,21,22,62,6,107,maize
77,58,19,23,57,6,102,maize
66,44,20,19,69,7,81,maize
63,35,16,22,65,6,84,maize
79,45,20,24,59,6,90,maize
72,60,25,19,69,6,88,maize
67,51,24,24,61,6,65,maize
86,36,24,27,73,6,73,maize
76,48,18,19,70,6,83,maize
75,53,18,21,59,7,104,maize
81,45,23,19,68,6,84,maize
73,45,21,25,74,7,97,maize
71,35,24,22,60,6,68,maize
96,54,22,26,61,7,83,maize
99,39,18,19,68,6,88,maize
62,48,20,22,60,7,96,maize
86,37,16,21,59,6,68,maize
94,50,19,23,74,6,98,maize
76,39,24,24,56,7,64,maize
77,52,17,25,66,6,76,maize
74,39,23,23,66,7,88,maize
81,49,20,18,61,6,104,maize
63,42,21,23,72,6,67,maize
99,38,21,23,72,6,68,maize
90,52,25,26,69,7,103,maize
68,40,19,26,66,7,107,maize
60,57,24,19,62,6,75,maize
71,52,18,25,56,6,78,maize
61,59,17,23,59,6,105,maize
88,38,15,25,66,6,62,maize
65,60,22,25,73,7,108,maize
78,37,22,25,63,6,75,maize
78,58,15,25,68,7,63,maize
92,60,23,19,72,6,70,maize
79,59,17,20,64,7,109,maize
91,55,15,18,73,6,79,maize
76,51,18,26,72,6,80,maize
87,48,25,19,61,7,94,maize
71,60,22,26,59,6,86,maize
90,57,24,19,73,6,82,maize
67,35,22,23,63,6,109,maize
60,54,19,19,63,6,70,maize
83,58,23,20,60,6,66,maize
83,57,19,26,71,7,99,maize
40,72,77,17,17,7,89,chickpea
23,72,84,19,17,7,80,chickpea
39,58,85,18,15,6,69,chickpea
22,72,85,19,16,6,89,chickpea
36,67,77,18,20,7,79,chickpea
32,73,81,20,15,6,93,chickpea
58,70,84,21,17,6,75,chickpea
59,70,84,17,19,8,83,chickpea
42,62,75,18,19,7,82,chickpea
28,74,81,18,18,9,82,chickpea
58,66,79,21,19,9,94,chickpea
43,66,79,19,15,8,75,chickpea
58,63,81,20,15,7,79,chickpea
23,62,85,19,20,8,81,chickpea
27,62,77,18,15,7,70,chickpea
28,72,84,19,19,6,72,chickpea
50,56,76,21,20,8,74,chickpea
39,71,84,20,16,8,83,chickpea
25,78,76,17,16,7,67,chickpea
31,70,77,21,14,6,90,chickpea
26,80,83,17,16,8,71,chickpea
25,68,77,20,15,8,86,chickpea
31,78,76,18,15,9,89,chickpea
60,68,83,19,18,7,86,chickpea
59,62,83,19,19,8,73,chickpea
22,67,78,17,14,6,72,chickpea
36,65,80,18,17,6,75,chickpea
59,60,84,19,19,8,95,chickpea
54,77,85,17,17,8,84,chickpea
43,68,81,17,18,7,79,chickpea
28,76,82,21,14,7,84,chickpea
42,79,85,17,16,6,77,chickpea
32,60,83,20,19,9,92,chickpea
22,78,76,18,19,9,76,chickpea
31,79,75,19,16,8,90,chickpea
28,58,81,17,17,6,93,chickpea
57,58,77,19,18,8,81,chickpea
49,55,78,19,16,8,82,chickpea
46,76,77,18,20,7,84,chickpea
54,61,77,19,15,6,78,chickpea
38,60,76,19,18,9,78,chickpea
59,55,79,20,17,9,82,chickpea
36,76,75,18,17,9,71,chickpea
57,68,81,17,17,8,73,chickpea
35,66,81,19,16,6,85,chickpea
35,64,78,18,14,8,85,chickpea
52,60,79,19,18,8,76,chickpea
27,76,83,19,15,6,90,chickpea
57,60,84,19,17,7,75,chickpea
52,68,78,17,17,7,86,chickpea
43,79,79,19,19,8,80,chickpea
44,74,85,20,20,7,78,chickpea
24,55,78,17,15,7,76,chickpea
29,77,75,18,15,8,73,chickpea
20,60,78,18,15,6,91,chickpea
56,67,78,18,17,8,78,chickpea
37,66,85,21,19,6,78,chickpea
49,71,76,20,18,7,86,chickpea
59,69,80,19,18,8,69,chickpea
20,79,77,19,16,8,76,chickpea
24,56,85,18,17,7,81,chickpea
51,72,75,19,15,7,80,chickpea
57,73,85,18,15,7,92,chickpea
22,64,82,19,17,6,88,chickpea
52,73,79,17,19,8,94,chickpea
29,75,75,20,19,7,88,chickpea
44,59,78,21,20,8,85,chickpea
41,69,82,20,17,7,69,chickpea
52,56,85,20,14,7,89,chickpea
34,76,80,21,16,8,65,chickpea
42,74,83,19,14,8,66,chickpea
34,71,79,18,16,8,75,chickpea
27,73,79,19,16,7,83,chickpea
30,70,79,20,20,7,70,chickpea
57,57,75,17,18,8,87,chickpea
27,79,82,17,18,6,71,chickpea
32,71,85,21,14,6,92,chickpea
31,76,82,21,18,8,79,chickpea
33,75,84,19,19,7,69,chickpea
47,80,77,17,16,8,73,chickpea
54,62,80,17,16,7,79,chickpea
47,79,78,17,15,7,65,chickpea
35,57,83,19,17,7,81,chickpea
53,73,77,20,18,7,74,chickpea
45,61,78,19,16,6,82,chickpea
37,78,79,20,15,8,89,chickpea
30,75,81,19,17,6,69,chickpea
37,55,82,19,18,8,78,chickpea
